"ID","Nom_complet","year","Date_t1","Date_t","delta_time","death_year","delta_DBH","delta_H","Placette","TWI_mean","delta_Lum","dST_juv","dST_adult","dST_juv_mean","dST_adult_mean","Placette_C.L.","Indice_palmier_superposition_m2","Palm_coverage","DBHt1","DBHt","Statut_growth","Treatment",".obsID"
"1.10.10.1","Bocoa prouacensis",1992,1992,1993,1,NA,0,0.09,"1.10.10",-0.564306867581734,-0.568435408801294,0,-1.3646033527797,-0.796694966991703,-0.553346077282563,"1.10.10",55.0968555358359,0.372117955357692,15,-0.332126086782231,0,"T0",1
"1.10.7.1","Sterculia pruriens",1992,1992,1993,1,2002,0,0.159187271062271,"1.10.7",1.66390853645987,0.0955131678890884,0,0.241045778678401,-0.750389800763282,-1.13556305822501,"1.10.7",34.2657268101302,-0.247126696945612,15,-0.332126086782231,0,"T0",2
"1.10.8.1","Symphonia sp. 1",1992,1992,1993,1,2016,0,0.3,"1.10.8",0.231197153852893,-0.242254352235132,0,0.161372620542,-0.678827271137539,-0.688949576702153,"1.10.8",90.5701678923779,1.42662917582586,15,-0.332126086782231,0,"T0",3
"1.10.8.2","Virola michelii",1992,1992,1993,1,NA,0,0.0833333333333333,"1.10.8",0.231197153852893,-0.221980396478964,0,0.161372620542,-0.678827271137539,-0.688949576702153,"1.10.8",90.5701678923779,1.42662917582586,5,-0.777288214330966,0,"T0",4
"1.10.8.5","Sterculia pruriens",1992,1992,1993,1,NA,0,0.346666666666667,"1.10.8",0.231197153852893,-0.221980396478964,0,0.161372620542,-0.678827271137539,-0.688949576702153,"1.10.8",90.5701678923779,1.42662917582586,15,-0.332126086782231,0,"T0",5
"1.10.8.6","Virola michelii",1992,1992,1993,1,NA,0,0.1,"1.10.8",0.231197153852893,-0.242254352235132,0,0.161372620542,-0.678827271137539,-0.688949576702153,"1.10.8",90.5701678923779,1.42662917582586,5,-0.777288214330966,0,"T0",6
"1.10.9.1","Symphonia sp. 1",1992,1992,1993,1,2005,0,0.115134598254053,"1.10.9",-0.931938032909208,0.0955131678890884,0,0.505900632518699,-0.834581012087684,-0.280855188621917,"1.10.9",78.8199103207189,1.07733057274741,5,-0.777288214330966,0,"T0",7
"1.3.10.1","Symphonia sp. 1",1992,1992,1993,1,NA,0,0.0666666666666667,"1.3.10",1.31673791934099,-1.27368932928263,0,0.421612003547096,-0.834581012087684,1.19588490570913,"1.3.10",114.731413176768,2.14486783357483,5,-0.777288214330966,0,"T0",8
"1.3.3.1","Sterculia pruriens",1992,1992,1993,1,2002,0,0.159187271062271,"1.3.3",-0.920885164713871,0.0955131678890884,0,-1.0518770605819,0.019959782855001,0.332652508773486,"1.3.3",0,-1.2657401558637,15,-0.332126086782231,0,"T0",9
"1.3.3.3","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0.05,"1.3.3",-0.920885164713871,-0.158502444963309,0,-1.0518770605819,0.019959782855001,0.332652508773486,"1.3.3",0,-1.2657401558637,25,0.113036040766503,0,"T0",10
"1.3.4.1","Sterculia pruriens",1992,1992,1993,1,2008,0,0.159187271062271,"1.3.4",-1.00881344424292,0.0955131678890884,0.039058989625892,0.7135968201015,-0.527283090753615,-1.29734863465213,"1.3.4",28.783953011779,-0.410082778416917,15,-0.332126086782231,0,"T0",11
"1.3.4.4","Virola michelii",1992,1992,1993,1,2002,0,0.128596614728251,"1.3.4",-1.00881344424292,0.0955131678890884,0.039058989625892,0.7135968201015,-0.527283090753615,-1.29734863465213,"1.3.4",28.783953011779,-0.410082778416917,5,-0.777288214330966,0,"T0",12
"1.3.4.6","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0.0833333333333332,"1.3.4",-1.00881344424292,0.280897840553923,0.039058989625892,0.7135968201015,-0.527283090753615,-1.29734863465213,"1.3.4",28.783953011779,-0.410082778416917,35,0.558198168315238,0,"T0",13
"1.3.9.1","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0.0166666666666666,"1.3.9",0.061402457744878,-1.12378790530516,0,0.490815922959801,-0.834581012087684,0.887928326511216,"1.3.9",8.52716220224284,-1.01225415121213,5,-0.777288214330966,0,"T0",14
"1.4.10.1","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0,"1.4.10",4.3797238569325,-0.391713450769155,0.156235958503571,0.381676923576997,-0.295757259611508,1.12768015799019,"1.4.10",40.3956922499228,-0.0649018944695258,15,-0.332126086782231,0,"T0",15
"1.4.10.2","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0.0166666666666666,"1.4.10",4.3797238569325,-0.391713450769155,0.156235958503571,0.381676923576997,-0.295757259611508,1.12768015799019,"1.4.10",40.3956922499228,-0.0649018944695258,15,-0.332126086782231,0,"T0",16
"1.4.10.3","Symphonia sp. 1",1992,1992,1993,1,NA,0,0.04,"1.4.10",4.3797238569325,-0.391713450769155,0.156235958503571,0.381676923576997,-0.295757259611508,1.12768015799019,"1.4.10",40.3956922499228,-0.0649018944695258,15,-0.332126086782231,0,"T0",17
